Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,Hreflang attribute,Target final redirect URL,Target final redirect HTTP status code,Target final redirect no-crawl reason,Is source noindex,Is source canonical,Is final redirect internal,Is final redirect indexable
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/privacy,307,,,https://www.pravdast.agency/privacy,200,,false,true,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog,307,,,https://www.pravdast.agency/blog,200,,false,true,true,true
Canonical,false,https://www.pravdast.agency/services/trendlab,200,https://pravdast.agency/services,307,,,https://www.pravdast.agency/services,200,,false,false,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/services/clientomat,307,,,https://www.pravdast.agency/services/clientomat,200,,false,true,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/calculators,307,,,https://www.pravdast.agency/calculators,200,,false,true,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog/wp-prouchvane-na-klyuchovi-dumi-za-onlajn-trgoviya-rkovodstvo-za-2025g,307,,,https://www.pravdast.agency/blog/wp-prouchvane-na-klyuchovi-dumi-za-onlajn-trgoviya-rkovodstvo-za-2025g,200,,false,true,true,true
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/about,307,,,https://www.pravdast.agency/about,200,,false,true,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog/wp-7-dokazani-metoda-za-optimizacziya-na-soczialnite-mrezhi,307,,,https://www.pravdast.agency/blog/wp-7-dokazani-metoda-za-optimizacziya-na-soczialnite-mrezhi,200,,false,true,true,true
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/services/clickstarter,307,,,https://www.pravdast.agency/services/clickstarter,200,,false,true,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog/wp-zashho-rabotata-s-biznes-inzheneri-e-po-dobrata-alternativa-ot-izgrazhdaneto-i-poddrzhaneto-na-marketing-ekip,307,,,https://www.pravdast.agency/blog/wp-zashho-rabotata-s-biznes-inzheneri-e-po-dobrata-alternativa-ot-izgrazhdaneto-i-poddrzhaneto-na-marketing-ekip,200,,false,true,true,true
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog/wp-rkovodstvo-za-nachinaeshhi-v-marketinga-za-malk-biznes,307,,,https://www.pravdast.agency/blog/wp-rkovodstvo-za-nachinaeshhi-v-marketinga-za-malk-biznes,200,,false,true,true,true
Canonical,false,https://www.pravdast.agency/services/seo-struktor,200,https://pravdast.agency/services,307,,,https://www.pravdast.agency/services,200,,false,false,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog/wp-3-te-cherni-dupki-koito-poglshhat-reklamniya-vi-byudzhet,307,,,https://www.pravdast.agency/blog/wp-3-te-cherni-dupki-koito-poglshhat-reklamniya-vi-byudzhet,200,,false,true,true,true
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog/wp-8-trenda-v-digitalniya-marketing-koito-ne-tryabva-da-ignorirate-prez-2025,307,,,https://www.pravdast.agency/blog/wp-8-trenda-v-digitalniya-marketing-koito-ne-tryabva-da-ignorirate-prez-2025,200,,false,true,true,true
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog/wp-35,307,,,https://www.pravdast.agency/blog/wp-35,200,,false,true,true,true
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/,307,,,https://www.pravdast.agency/,200,,false,true,true,true
Canonical,false,https://www.pravdast.agency/services,200,https://pravdast.agency/services,307,,,https://www.pravdast.agency/services,200,,false,false,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/services/seo-struktor,307,,,https://www.pravdast.agency/services/seo-struktor,200,,false,true,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/campaigns/glovo,307,,,https://www.pravdast.agency/campaigns/glovo,200,,false,true,true,true
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/services/trendlab,307,,,https://www.pravdast.agency/services/trendlab,200,,false,true,true,false
